name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
Coffee Clan,Cafe,"Shivang Complex, Shop N0, 4 5 6, Urmi Rd, Opp Gail Office, Punit Nagar, Society, Vadodara, Gujarat 390007 ",22.3028836,73.1678508,4.4,,074054 12238 ,,Coffee+Clan,cafe,22.298,73.175
RATLAM CAFE HOUSE,Restaurant,"SHOP NO 5, Eagle Apartment, near by Subha Elite Hotel, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390008 ",22.3207056,73.1881844,4.6,,083208 22243 ,,RATLAM+CAFE+HOUSE,cafe,22.298,73.185
Unplaned Cafe,Cafe,"1 Yogiraj Complex, Near, Narayan Garden Rd, opp. Lotus Plaza, New Alkapuri, Laxmipura, Vadodara, Gujarat 390023 ",22.3265552,73.1334626,4.4,,,,Unplaned+Cafe,cafe,22.308,73.155
Cafe Amistoso | Vadodara,Cafe,"Sixth floor, Cafe Amistoso, Vihav Trade Centre, 601, Bhayli, Vadodara, Gujarat 391410 ",22.2851287,73.1325009,4.6,,074360 72824 ,https://cafeamistoso.com/,Cafe+Amistoso+%7C+Vadodara,cafe,22.308,73.155
Pefeteria - Gujarat's 1st Pet Cafe,Cafe,"PEFETERIA, M, K School Lane, near बड़ोदा हाई विद्यालय, Alkapuri Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3141364,73.1692678,4.5,,074359 77719 ,http://pefeteria.com/,Pefeteria+-+Gujarat%27s+1st+Pet+Cafe,cafe,22.308,73.155
Curators Coffee,Coffee shop,"101, Corrum Complex, Jetalpur Rd, Chikuwadi, Haripura, Vadodara, Gujarat 390007 ",22.3079525,73.169574,4.5,,063592 20791 ,http://www.instagram.com/curators.coffee,Curators+Coffee,cafe,22.308,73.175
Devi's Coffee Bar,Cafe,"GF 16, Glacier Complex, Jetalpur Rd, near pizza Bell, Anupum Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3074351,73.172511,4.5,,094270 45632 ,,Devi%27s+Coffee+Bar,cafe,22.308,73.175
Princely Cafe,Art cafe,"B 46, Emerald one besides Gujarat kidney Hospital, Jetalpur Rd, Vadodara, Gujarat 390007 ",22.307343,73.1751773,4.9,,,,Princely+Cafe,cafe,22.308,73.175
Buzz cafe,Cafe,"315,3rd floor, Samanvay Silicon, opp. kalyan hotel, Sayajiganj, Vadodara, Gujarat 390007 ",22.308419,73.1845444,4.4,,,,Buzz+cafe,cafe,22.308,73.175
TIMES CAFE SAYAJIGUNJ,Cafe,"FF1, Alankar Tower, Police Station, opp. Sayajigunj, Near Sayajigunj Police Station, Sarod, Sayajiganj, Vadodara, Gujarat 390007 ",22.3094795,73.1841299,4.2,,096626 89707 ,,TIMES+CAFE+SAYAJIGUNJ,cafe,22.308,73.185
Lion's Cafe,Cafe,"High Tension Rd, Subhanpura, Vadodara, Gujarat 390021 ",22.3211872,73.1497899,4.8,,088664 30549 ,,Lion%27s+Cafe,cafe,22.318,73.155
Tasu's Cafe,Cafe,"GF-22 Labh Icon, Gotri, Vasana, Gujarat 390007 ",22.3071985,73.1379149,5.0,,070166 91230 ,,Tasu%27s+Cafe,cafe,22.318,73.155
TeaPost Subhanpura,Cafe,"5, New IPCL Rd, Maheshwar Nagar Society, Subhanpura, Vadodara, Gujarat 390023 ",22.3209386,73.1596012,4.1,,099741 43609 ,,TeaPost+Subhanpura,cafe,22.318,73.165
KRISHNA CAFE,Cafe,"3, RUTWIK TOWER, ANANDVAN COMPLEX, near RANCHOD MASALA MEEL, New IPCL Rd, Subhanpura, Vadodara, Gujarat 390023 ",22.3276314,73.1549461,5.0,,070132 53543 ,,KRISHNA+CAFE,cafe,22.318,73.165
Ark Cafe,Cafe,"Ground floor, Ark building, Krishna estate, BIDC Gorwa Estate, Gorwa, Vadodara, Gujarat 390003 ",22.3298595,73.165772,4.6,,098795 09852 ,,Ark+Cafe,cafe,22.318,73.165
Cafe Beats,Restaurant,"GF - 21, Neptune Trion Sarabhai Campus, Gorwa Rd, Subhanpura, Vadodara, Gujarat 390023 ",22.3200827,73.1679861,4.2,,095121 53666 ,https://cafebeats.in/,Cafe+Beats,cafe,22.318,73.165
C&C House of Coffee & Chocolates,Coffee shop,"Dr Rustam, 31, Dr Rustom Cama Marg, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3148703,73.1707692,4.1,,,,C%26C+House+of+Coffee+%26+Chocolates,cafe,22.318,73.175
Cafe Kaffeine,Coffee shop,"Centre Square Mall, Sayaji Path, Near Genda Circle, Nand Agricultural University Farm, Alkapuri, Vadodara, Gujarat 390023 ",22.318351,73.169439,4.1,,,,Cafe+Kaffeine,cafe,22.318,73.175
Pure Beans & Creams,Coffee store,"Before Hampton by Hilton Hotel, # 10, Kanha Capital, RC Dutt Road Opposite Express hotel, Alkapuri, Vadodara, Gujarat 390007 ",22.3108343,73.1683195,4.6,,099784 47337 ,,Pure+Beans+%26+Creams,cafe,22.318,73.175
KAFE BENKYOU - The Study Cafe,Cafe,"FF9, Aakar Complex, Samta Cross Road, opposite Suresh Bhajiya House, Samta Chokdi, Subhanpura, Vadodara, Gujarat 390021 ",22.3226258,73.1497803,5.0,,087990 26896 ,https://www.instagram.com/kafe.benkyou/?ref=RollInsta&hl=gu,KAFE+BENKYOU+-+The+Study+Cafe,cafe,22.328,73.155
Cafe Appetito - Alembic,Cafe,"Shop No, Alembic Pharma Campus, 3, Alembic Rd, BIDC Gorwa Estate, Subhanpura, Vadodara, Gujarat 390003 ",22.3249473,73.1652044,4.2,,,,Cafe+Appetito+-+Alembic,cafe,22.328,73.165
Bruno's Cafe,Cafe,"Frist Floor, Radhakrishna Shopping Complex, C/26, Centre, opposite Sahyog Garden, Toral Society, Gorwa, Vadodara, Gujarat 390016 ",22.3379974,73.1495048,4.8,,084520 21419 ,,Bruno%27s+Cafe,cafe,22.328,73.165
NIGHT LIFE CAFE - FATEHGUNJ,Cafe,"opp. Rosary High School, Pratapgunj, Vadodara, Gujarat 390007 ",22.3177531,73.1817737,4.7,,,,NIGHT+LIFE+CAFE+-+FATEHGUNJ,cafe,22.328,73.185
